pertanyaan,label
kenapa hasil trace route ada RTO ?,lainnya
perbedaan speed dan bandwidth,lainnya
Berapa lama IP Biznet Home terganti,lainnya
Cara cek coverage layanan Biznet Home,lainnya
Cara cek masa aktif layanan Biznet saya,lainnya
Troubleshoot internet lambat,Problem
Troubleshoot modem blinking,Information
"Kabel fiber saya ada yang putus kak, saya harus gimana ya?",Problem
"Saya mau pasang Kak, untuk kebutuhan 3 orang kira-kira paket yang cocok apa ya?",lainnya
Kalo untuk layanan IPTV ada ga kak?,lainnya
Untuk STB nya apakah ada biaya lagi?,Request
"Baik, untuk estimasi pemasangan baru berapa lama kak?",lainnya
Untuk biaya pemasangannya apakah dibayarkan di awal?,Information
Untuk layanan customer service Biznet Home bisa menghubungi kemana?,lainnya
Registrasi pemasangan baru bisa melalui apa?,Information
IP yang didapatkan dari paket Biznet Home apa ya Kak?,lainnya
Untuk minimal berlangganannya selama berapa Bulan ya Kak?,Information
Kalau telat melakukan pembayaran paket apakah ada denda kak?,Information
Untuk biaya kunjungan petugas berapa?,Problem
Cara ubah password wifi di lokasi bagaimana?,Information
"SSID saya hilang, bagaimana mengatasinya?",lainnya
Kenapa saya tidak bisa akses website lokal?,lainnya
"SSID saya muncul, tapi tidak ada jaringan internetnya. Bagaimana ya kak agar bisa normal kembali?",Problem
Untuk username login myBiznet apa ya kak?,Information
Bagaimana cara ubah alamat Email terdaftar kak?,Information
Apakah layanan Biznet bisa diganti kepemilikan?,lainnya
Cara cek status billing pembayaran?,Information
Cek kode virtual akun pembayaran billing biznet home?,Information
koneksinya lambat,Problem
koneksinya lambat,Problem
Internet saya putus,Problem
Inwt mati ni,Problem
Internet putus ni,Problem
Oke terus paket bixnet ada apa aha sih?,lainnya
cara cek kuota,lainnya
Koneksi Lambat,Problem
Berapa harga paket 150mbps,lainnya
Tidak Ada Koneksi,lainnya
Relokasi,Information
Ubah Layanan,lainnya
kalau aku mau mengajukan penutupan akun apakah bisa?,Information
Syarat Dan Ketentuan Layanan Biznet Home,lainnya
Syarat Dan Ketentuan Layanan Biznet Home,lainnya
cara melakukan registrasi ulang,Information
jaminan gangguan Layanan,Problem
jumlah channel TV yang terdapat di dalam Layanan Biznet Biznet IPTV,lainnya
masa tenggang Biznet,lainnya
bagaimana cara ikut prooo?,lainnya
bagaimana cara ikut promo?,Information
ada promo apa saja yang berlaku?,Information
bagimana mau promo 9+3?,Information
kalo promo 3+1 gimana?,Information
promo 8+4 ada?,Information
saya maunya promo 6+6,Information
biaya instalasi,Request
mau 12+5 deh kak,lainnya
biaya perangkat Biznet WiFi Fiber Modem,Information
biaya  Home Internet 0DS,Request
saya mau terminasi,lainnya
biaya perangkat  layanan Biznet IPTV,Request
Biaya yang timbul akibat relokasi,Information
biaya setiap bulan  Biznet IPTV,Request
garansi untuk perangkat Biznet WiFi Fiber Modem,Information
garansi perangkat Biznet IPTV STB,lainnya
biaya sewa perangkat setiap bulan  Biznet WiFi Fiber Modem,Information
biaya penalti Apabila Pelanggan melakukan terminasi sebelum habis masa kontrak,Request
berapa lama proses instalasi hingga layanan aktif,lainnya
"proses penjadwalan instalasi, aktivasi dan relokasi membutuhkan waktu?",Information
ara Mempercepat Jaringan WiFi Biznet,Problem
Cara Mempercepat Jaringan WiFi Biznet,Problem
Cara Mengatasi WiFi Biznet Lemot,lainnya
Biznet Smart Internet WiFi,lainnya
bagaimana cara terminasi,lainnya
apakah modem saya akan dilakukan pengambilan?,Information
apakah ada biaya terminasi?,Request
syarat mengajukan terminasi apa saja?,lainnya
saya mau ganti modem,Information
bagaimana cara ganti modem,Information
cara ganti modem rusak,Information
cara beli router tambahan,Information
apakah bisa memanggil teknisi untuk setting router?,Problem
bagaimana cara memindahkan modem Biznet?,Information
jenis paket internet biznet apa saja?,lainnya
perbedaan jenis ip layanan biznet apa saja?,lainnya
paket 1d jenis ip apa?,lainnya
paket 2d jenis ip apa?,lainnya
paket 3d jenis ip apa?,lainnya
Bandiwth 1D berapa?,lainnya
Bandiwth 2D berapa?,lainnya
Bandiwth 3D berapa?,lainnya
bagaimana cari downgrade?,lainnya
bagaimana cara upgrade?,Information
internet saya lambat,Problem
internet saya putus sambung,Problem
ada lampu loss merah,lainnya
bagaimana cara cek status modem?,Information
apakah ada layanan IP Statik?,lainnya
bagaimana agar ip saya berubah?,lainnya
modam saya mati total,Problem
bagaimana cek sisa kuota saya?,lainnya
bagaimana cara ganti password wifi,Information
bagaimana cek apakah modem sudah support 5G?,Information
kapan saya harus isi ulang kuota?,lainnya
bagaimana cara beli xtra kuota?,lainnya
berapa jumlah bandwodth over kuota?,lainnya
berapa perangkat untuk 0d?,lainnya
berapa perangkat untuk 1D?,lainnya
berapa perangkat untuk 2D?,lainnya
berapa perangkat untuk 3D?,lainnya
berapa perangkat untuk 0ds?,lainnya
berapa perangkat untuk 1ds?,lainnya
berapa perangkat untuk 2ds?,lainnya
berapa perangkat untuk 3ds?,lainnya
berapa perangkat untuk 0dw?,lainnya
berapa perangkat untuk 1dw?,lainnya
berapa perangkat untuk 2dw?,lainnya
berapa perangkat untuk 3dw?,lainnya
berapa perangkat untuk 1dn?,lainnya
paket 1dn untuk area mana?,lainnya
paket 1ds untuk area mana?,lainnya
harga net dari layanan 3D gamers berapa?,lainnya
Layanan yang di sarankan untuk menggunakan CCTV,lainnya
Layanan Biznet Home yang di rekomendasikan untuk main game,lainnya
"internet lambat sekali, ada saran mengatasinya?",Problem
keunggulan layanan 0D apa aja ya,lainnya
apakah layanan biznet home 0D dapat digunakan untuk CCTV?,lainnya
"internet saya lampu los berkedip, itu kenapa ya?",lainnya
jika internet putus nyambung itu kenapa ya?,Problem
"saya dan tetangga saya internetnya biznetnya mati, itu kenapa ya?",Problem
ada promo apa saja pada bulan desember ini?,Information
"kalo saya mau promo 3+1 layanan 0D, kena berapa tagihannya?",Information
bisa tidak pengajuan IPTV untuk layanan 0D?,lainnya
layanan apa ya kalo saya mau pasang IPTV yang cocok?,lainnya
"saya mau pasang IPTV dong, gimana caranya?",lainnya
"kalo layanan saya 1D dan ingin menggunakan IPTV, tagihannya di kenakan berapa?",Request
Untuk STB IPTV free atau dikenakan biaya?,Request
"layanan 3D tidak dapat buka game ps4 online, itu kenapa?",lainnya
jika kita tidak dapat akses website game steam dengan menggunakan layanan 3D itu kenapa ya?,lainnya
"Saya mau main dota 2, sudah berhasil masuk ke steam, tapi saya tidak dapat akses dota 2, kenapa ya?",lainnya
"layanan saya biznet 3D, saya mau main dota 2, sudah berhasil masuk ke steam, tapi saya tidak dapat akses dota 2, kenapa ya?",lainnya
Internet saya down sejak semalam bisa di bantu?,lainnya
tanggal berapa biasanya akan terdebet untuk kartu kredit?,lainnya
tanggal berapa biasanya akan terdebet untuk payment via kartu kredit?,lainnya
Internet saya down bisa di cek,lainnya
untuk permintaan add on kouta bisa melalui apa saja?,lainnya
di area gunung putri sudah ada jaringan belum?,Problem
Halo internet saya down,lainnya
Internet saya down,lainnya
Cara rubah paket gimana,lainnya
Internet saya down,lainnya
Halo internet saya down bisa di cek?,lainnya
harga Biznet Home 1D berapa ya?,lainnya
Harga Biznet Home 1D berapa?,lainnya
bisa di bantu informasikan menu quota tambahan biznet home?,lainnya
apakah quota tambahan akan hangus jika FUP utama sudah reset?,lainnya
Apakah extra quota memiliki harga yang sama pada setiap layanan Biznet Home?,lainnya
langkah langkah lakukan bridge modem Biznet bagaimana?,Information
"jika router external kami rusak, apakah dapat dibantu dari sisi Biznet?",Information
apakah pergantian layanan menghanguskan sisa masa aktif?,lainnya
apakah dikenakan biaya tambahan jika ingin merubah layanan?,Request
apakah pergantian layanan dan pembelian modem bisa di proses secara bersamaan?,Information
Apakah pembelian modem akan menghanguskan sisa masa aktif?,Information
"saya ingin membeli modem dengan layanan 1D, berapa biaya yang harus saya keluarkan?",Information
apakah kita dapat masuk ke pengaturan modem pribadi?,Information
"saya ingin mengganti password wifi secara mandiri, apakah dapat dilakukan?",Information
"saya tidak dapat akses website tertentu, dapat dibantu?",lainnya
Halo internet saya down,lainnya
"Saya tidak dapat akses youtube.com, apakah dapat dibantu?",lainnya
jika saya relokasi apakah dikenakan biaya?,Information
Bagaimana cara setting smtp email menggunakan jaringan biznet,Problem
"saya ingin pindah dari jakarta ke bali, apakah dapat dilakukan relokasi?",Information
Apakah saya perlu membwa modem ke lokasi baru jika ingin relokasi?,Information
kenapa koneksi saya sering RTO ketika akses beberapa website?,lainnya
"Jika saya ingin memindahkan modem dari lantai 1 ke lantai 2, apakah dikenakan biaya?",Information
"saya ingin menambah router tamban untuk memperluas jaringan Biznet, apakah ada rekomendasi perangkat?",Problem
kenapa saya tidak bisa akses disney hotstar? keterangannya koneksi saya menggunakan vpn,lainnya
apakah *Deco M4 TP-Link Mesh* menggunakan kabel atau wireless?,lainnya
bagaimana cara saya mengetahui IP dari game di pc saya?,lainnya
apakah biznet Home meyediakan IP static?,lainnya
kenapa jaringan saya suka up down dalam beberapa hari terakhir?,Problem
"Saya ingin membuka warnet, layanan Biznet apa yang cocok untuk warnet?",lainnya
apakah untuk layanan 3D mendapatkan ip static?,lainnya
Bisa dibantu langkah untuk mengatur NAT pada playstation?,lainnya
bagaimana saya cek sisa kuota saya?,lainnya
apakah layanan 0D dapat digunakan sampai dengan 10 perangkat?,lainnya
saya ingin mengaktifkan akun saya kembali namun saya terakhir melakukan pembayaran 2 bulan yang lalu. Apakah bisa di bantu?,Information
"saya tidak dapat akses game handphone melalui biznet home 1D, ada saran?",lainnya
saya ingin membeli modem apakah bisa di proses di hari ini?,Information
"Saya ingin membayarkan tagihan melalui bank bsi, apakah bisa?",Information
remote iptv saya rusak,lainnya
Apakah IP akan terganti jika kita restart modem dengan layanan Bizne Home?,Information
berapa biaya pergantian remote IPTV,Request
"Saya ingin mengganti data pada akun layanan saya, bisa dibantu?",Information
berapa lama garansi modem biznet?,Information
apakah biznet ada sistem kontrak untuk pemasangan baru?,lainnya
bukti pembayaran saya belum terima,Information
Bagaimana cara saya merubah password wifi saya?,Information
Berapa kapasitas bandwidth yang bisa di dapatkan jika saya menggunakan kabel LAN?,lainnya
saya mau cek quota saya,lainnya
bagaimana cara ubah jaringan saya dengan mode bridge,Problem
internet saya tidak bisa di gunakan pada macbook saya,lainnya
kenapa bandwidth saya tidak sesuai dengan paket yang saya ambil,lainnya
Kenapa saya tidak bisa menggunakan port 525,lainnya
bagaimana cara membatasi penggunaan koneksi di modem biznet,Information
Bagaimana cara aktivasi akun MyBiznet?,Information
Internet saya lambat bandwidthnya tidak sesuai,Problem
Bagaimana cara cek ping dan tracert,lainnya
bagaimana jika saya ingin melakukan penambahan layanan pemasangan di lokasi baru?,lainnya
Saya mau melakukan perpanjangan wifi,lainnya
saya ingin tau promo yang berlaku,Information
Berapa nomor virtual account untuk melakukan pembayaran.,Information
Nomor virtual account BSI,lainnya
info masa tenggang,lainnya
cara perpanjang,lainnya
cara langganan iptv gimana,lainnya
bisa combo sama home 0d ngga,lainnya
kalau dicombo sama 1d bisa?,lainnya
jadi total tagihan aku kalau sama IPTV berapa?,Request
lupa email login aplikasi,Information
Mau tanya kok tempat saya ssidnya hilang ya ?,lainnya
"sudah, tapi masih hilang",lainnya
parameter modem normal apa,Information
pon blinking,lainnya
mau downgrade,lainnya
"kalau downgrade sekarang, masa aktifku gimana?",lainnya
masa aktifku sampai kapan?,lainnya
berarti ngga bisa downgrade sekarang ya?,lainnya
paket yang lebih rendah dari yg kupakai sekarang ada apa aja?,lainnya
ada kompensasi ngga kalau nanti ada kendala,lainnya
kalau mau minta invoice gimana,Request
kalau ngga bisa bayar lebih dari 45 hari gimana min,Information
kok ga bisa akses situs perbankan,lainnya
min mau daftar untuk di  JL TLK LAMPUNG,Information
di lampung ada paket apa aja,lainnya
biaya instalasi sama modem berapa?,Information
ada promo apa aja untuk lampung,Information
"cara pasang baru, di JL PULAU SULAWESI",Information
sulawesi ada paket apa aja,lainnya
kalau mau relokasi gimana,Information
mau ubah status modem jadi buy min,Information
mau ikut promo,Information
cara login ke aplikasi gimana,Information
cara beli ekstra kuota gimana,lainnya
itu kapan resetnya,lainnya
mau terminasi,lainnya
min sewa sama beli modem bedanya apa,Information
min portnya keblokir,lainnya
tipe kabelnya apa min,lainnya
biznet jualan router ngga biar sinyal jauh,Information
mau pindah modem cuman geser dikit gimana caranya,Information
"min, TV ngga ada channel",lainnya
ada internet ngga bisa browsing,lainnya
min dns biznet apa,lainnya
ngga bisa kirim email pakai internet biznet,lainnya
username password pppoe aku apa,Information
mau setting modem sendiri gimana caranya,Information
cara tau vlan id gimana min,lainnya
bisa nambah modem lagi min?,Information
harga pasang baru di lokasi sama min,Information
ada paket apa aja min,lainnya
Mau cek kuota dong,lainnya
Halo internet saya down,lainnya
Halo internet saya down,lainnya
Paket biznet,lainnya
Cara login ke aplikasi genana ?,Information
Web biznet,lainnya
Halo internet saya down bisa di bantu cek?,lainnya
internet down sejak semalam,lainnya
Halo internet saya down bisa di cek?,lainnya
Kalo beli modem beraps,Information
Min informasi paket yang bisa 10 device,lainnya
Cara download aplikasi my biznet dimana,Information
Halo internet saya down bisa di cek?,lainnya
Saya ingin berlangganan namun bingung harus mulai darimana?,Information
Cara mengetahui alamat sudah tercover atau belum gimana?,lainnya
Jalan aster blok d5 no6 kelurahan sukatani kecamatan tapos kota depok kode pos 16454 apakah sudah tercover jaringan interner Biznet?,Problem
Untuk proses selanjutnya jika alamat tempat tinggal saya sudah tercover jaringan Biznet seperti apa atau bagimana?,Problem
jl. kerajinan 1 puri bunga amanah blok c/13 udah ke cover belum,lainnya
"Saya sudah membuka website Biznethome.net namun tidak menemukan menu pendaftaran, bisa dibantu?",Information
Min internet lambat,Problem
"Min internet dirumah indikator LOS nya merah, kenapa ya?",lainnya
Kalau internet lambat disebabkan apa min,Problem
Perbedaan IP Biznet Home 0D sama Gamers 3D apa min,lainnya
Cara ganti nama akun gimana,Information
"Kalau ganti nama akun, ada biaya nya engga?",Information
Pengen ganti paket 25 Mbps ada ga?,Information
harga biznet home 1 D berapa?,lainnya
harga biznet home 1D berapa?,lainnya
"Internet down, bagaimana ni?",lainnya
Cara ganti password secara mandiri gmna,Information
Min modem saya gak mau nyala,Information
Biznet home ada batas pembayaran ga?,Information
Internet down nih,lainnya
internet down nih gemana ?,lainnya
Internet down nih,lainnya
Min kalau modem rusak gimana ya?,Information
Min saya bisa ga menonaktifkan layanannya dulu 2 bulan,lainnya
Jika sedang terjadi gangguan massal atau kendala area dari sisi Biznet apakah pelanggan akan dapat informasi terkait hal tersebut tanpa harus menanyakan?,Problem
Biznet ada layanan free wifi di tempat umum ga?,lainnya
"Saya ingin menggunakan cctv, paket layanan biznet home apa yang cocok untuk penggunaan cctv?",lainnya
Min Biznet ada perangkat buat memperluas jangkauan Wifi engga?,lainnya
Min layanan Biznet home bisa buat RT RW net engga?,lainnya
"Min saya dibatam, kena PPN 11% ga?",lainnya
Kapan sebaiknya saya melakukan perubahan paket layanan internet saya?,lainnya
Min reset FUP tanggal berapa,lainnya
Saya ingin merubah skema penggunaan modem saya saat ini dari sewa menjadi beli apakah bisa?,Information
Jika saya melakukan pembelian modem apakah biaya sewa yang selama ini dikenakan akan hilang? dan apa keuntungan yang pelanggan dapatkan dari melakukan pembelian modem?,Information
Kalau berhenti berlangganan gimana caranya,Information
Biaya relokasi berapa min?,Information
Apakah ada garansi pergantian modem jika terjadi kerusakan jika saya baru melakukan pembelian modem?,Information
Ada garansi untuk perangkat *TP-Link Deco M4 Smart Internet Mesh WiFi* setelah pembelian ga,lainnya
Berapa lama waktu yang dibutuhkan untuk melakukan pembelian modem?,Information
"Jika saya tetap menggunakan modem dengan skema, dan terjadi kerusakan pada modem, apakah bisa dilakukan perbaikan atau pergantian untuk modemnya?",Information
ada garansi untuk perangkat Set top Box untuk Biznet IPTV ga min,lainnya
"Min tolong kirimkan teknisi kelokasi, modem saya LOS",Problem
Min kalau pindahin perangkat ke sebelah rumah bayar ga?,Information
Min kirimin pricelist paket internet,lainnya
"Internet saya sangat lambat, apakah dapat dibantu dioptimalkan?",Problem
Min di App MyBiznet bisa beli promo engga?,Information
"Min saya punya 2 perangkat dengan ID layanan yang berbeda, tapi ko di app MyBiznet cuma 1 yang terbaca",Information
Kenapa speed upload dan download jaringan internet biznet saya tidak simetris?,Problem
Min kalau ganti paket tapi cuma 2 hari bisa engga?,Information
Untuk perubahan paket layanan membutuhkan waktu berapa lama?,lainnya
"Min saya sewa modem biznet, tapi pengen ganti modem baru bisa engga?",Information
Apakah mybiznet sudah tersedia di playstore atau appstore?,Information
Bagaimana cara login ke MyBiznet apakah ada tutorial atau langkah langkahnya?,Information
"Saya ingin melakukan relokasi, namun untuk lokasi baru saya belum tercakup jaringan internet biznet, apa yang harus saya lakukan?",Problem
Min cara liat ID pembayaran dimana,Information
"Saya melakukan salah bayar tagihan hanya karena salah 1 digit saat memasukan nomor billing ID, apakah ada solusi?",Information
"Saya melakukan pembayaran tagihan internet Biznet namun nominal nya kelebihan, apakah pembayaran saya tetap di proses?",Information
Cara memblokir pengguna wifi gimana,lainnya
Berapa harga perbulan untuk layanan IPTV dan apakah saya perlu melakukan pembelian alatnya?,lainnya
Ada berapa channel yang tersedia pada layanan IPTV Biznet?,lainnya
Min kalau saya pake perangkat modem temen saya bisa ga? sama sama biznet,Information
"Halo, bagaimana cara berlangganan?",Information
"iya saya memerlukan bantuan, boleh berbicara dengan live agent?",lainnya
internet down nih gemana ?,lainnya
koneksinya lambat,Problem
jumlah channel TV yang terdapat di dalam Layanan Biznet Biznet IPTV,lainnya
berapa perangkat untuk 0dw?,lainnya
berapa perangkat untuk 1dw?,lainnya
Internet mati nih,Problem
paket 1dn untuk area mana?,lainnya
paket 1dn untuk area mana?,lainnya
halo,lainnya
paket 1ds untuk area mana?,lainnya
"layanan 3D tidak dapat buka game ps4 online, itu kenapa?",lainnya
"layanan saya Biznet 3D, saat akses game cukup lambat, namun akses youtube normal, ada solusinya ga?",Problem
Halo saya ingin menghubungi customer service,lainnya
apakah kita dapat masuk ke pengaturan modem pribadi?,Information
"Jika saya ingin memindahkan modem dari lantai 1 ke lantai 2, apakah dikenakan biaya?",Information
apakah Deco M4 TP-Link Mesh bisa digunakan untuk bangunan bertingkat?,lainnya
kenapa jaringan saya suka up down dalam beberapa hari terakhir?,Problem
saya mau topup,lainnya
berapa biaya pergantian remote IPTV,Request
saya mau renewal,lainnya
bagaimana jika saya ingin melakukan penambahan layanan pemasangan di lokasi baru?,lainnya
Berapa nomor virtual account untuk melakukan pembayaran.,Information
Saya mau melakukan perpanjangan wifi,lainnya
Customer Service,lainnya
Nomor virtual account BSI,lainnya
Masa aktif saya brp?,lainnya
cara langganan iptv gimana,lainnya
btn_chat_live_agent,lainnya
hubungi live agent,lainnya
mo beli extra quota,lainnya
mo beli extra quota,lainnya
mo beli extra quota,lainnya
lupa email login aplikasi,Information
sulawesi ada paket apa aja,lainnya
cara login ke aplikasi gimana,Information
itu (kuota FUP) kapan resetnya,lainnya
biznet jualan router ngga biar sinyal jauh,Information
"min, ada beberapa channel TV yang ilang",lainnya
username password pppoe aku apa,Information
Cara download aplikasi my biznet dimana,Information
Cara mengetahui alamat sudah tercover atau belum gimana?,lainnya
Apakah saya bisa datang langsung datang ke cabang Biznet terdekat dari lokasi saya untuk menanyakan terkait ingin melakukan pendaftaran jaringan internet Biznet dirumah saya?,Problem
Apakah ada garansi pergantian modem jika terjadi kerusakan jika saya baru melakukan pembelian modem?,Information
Ada garansi untuk perangkat TP-Link Deco M4 Smart Internet Mesh WiFi setelah pembelian ga,lainnya
ada garansi untuk perangkat Set top Box untuk Biznet IPTV ga min,lainnya
"Internet saya sangat lambat, apakah dapat dibantu dioptimalkan?",Problem
sulawesi ada paket apa aja,lainnya
mo beli extra quota,lainnya
min kendala ke facebook berikut hasil tracert : Tracing route to facebook.com [31.13.95.35]\nover a maximum of 30 hops:\n\n  1     1 ms    <1 ms    <1 ms  192.168.240.1\n  2     1 ms     2 ms     1 ms  172.16.4.2\n  3     3 ms     5 ms     3 ms  202.169.33.1\n  4     3 ms     3 ms     3 ms  182.253.255.90\n  5     3 ms     6 ms     3 ms  ae0.pr03.cgk1.tfbnw.net [157.240.86.242]\n  6     2 ms     2 ms     2 ms  po203.asw02.cgk1.tfbnw.net [129.134.39.48]\n  7     2 ms     2 ms     3 ms  psw01.cgk1.tfbnw.net [129.134.58.47]\n  8     2 ms     2 ms     2 ms  msw1ag.02.cgk1.tfbnw.net [129.134.91.183]\n  9     2 ms     2 ms     2 ms  edge-star-mini-shv-02-cgk1.facebook.com [31.13.95.35],lainnya
"ow gitu coy, kalo masih lambat gimana",Problem
Internet saya down bisa di cek?,lainnya
apakah bisa membeli router tambahan dari biznet?,Information
apakah jika modem rusak bisa diganti dengan yang baru?,Information
apakah bisa request untuk pembayaran setiap ditanggal tertentu?,Information
bagimana prosedur berhenti berlangganan IPTV?,Information
bagimana cara add on extra kouta?,lainnya
channel tv yang tersedia dibiznet apa saja?,lainnya
nomor call center biznet home,lainnya
cara reset password mybiznet,Information
cara merubah e-mail terdaftar,Information
apakah jaringan biznet bisa dikomersilkan?,Problem
Apakah ada diskon untuk pembelian modem?,Information
cara request perapihan kabel,lainnya
Estimasi kedatangan teknisi,Problem
jika modem saya rusak apa indikasinya?,Information
Internet di lokasi lama buat main mobile legends,lainnya
Internet down,lainnya
apakah akun kompliment jika ingin relokasi dikenakan biaya?,Information
layanan IPTV dapat channel apa saja?,lainnya
jika saya ingn tambah mikrotik apakah bisa?,lainnya
sebagai router tambahan,Information
saya ingin ubah layanan apakah bisa dibantu,lainnya
bagaimana cara optimalkan jaringan secara mandiri?,Problem
bagaimana jika saya putus jaringan sebelum masa kontrak?,Problem
bagaimana saya tahu wifi saya diretas orang lain?,lainnya
mo beli extra quota,lainnya
apakah modem biznet support 6G?,Information
apakah jika saya pindah ke malaysia jaringan Biznet saya bisa ikut dipindah?,Problem
apakah biznet ada paket yang harganya 150.000?,lainnya
apakah saya bisa ubah nomor telepon?,lainnya
apakah ada promo perpanjangan layanan?,Information
jika saya ingin daftar biznet untuk kosan baiknya menggunakan layanan yang mana?,Information
Apakah layanan metronet bisa untuk rumahan?,lainnya
saya butuh layanan dengan IP yang tidak berubah ubah,lainnya
jika saya pakai paket gamers apakah IP yang saya dapat akan berubah ubah?,lainnya
kalau saya pakai IP Public Dynamic akan terreset per kapan?,lainnya
"jika saya tidak bayar bulanan selama 1 bulan, apakah akunnya masih bisa dilanjutkan?",Information
jika kabel modem saya putus karna digigit tikus apakah perbaikannya akan berbayar?,Problem
apakah biznet ada kompensasi jika internet saya mati berhari2?,Problem
kenapa jaringan saya bermasalah akhir akhir ini?,Problem
apakah boleh saya reset modemnya?,Information
internet saya lambat sekali kalau akses ke google.com,Problem
kenapa lan saya tidak terhubung ke port 1 modem?,Information
apakah biznet bisa blok 1 web?,lainnya
apakah teknisi biznet bisa setting router tambahan saya?,Problem
apakah biznet menyewakan stb?,lainnya
cabang biznet area jaksel,lainnya
i want to buy extra quota,lainnya
mo beli extra quota,lainnya
mo beli extra quota,lainnya
mo beli extra quota,lainnya
Internet saya down,lainnya
Internet saya mati,Problem
promo ada ?,Information
8+4 gaada min?,lainnya
